Family	Genefam	Gene	Hit
Aminoglycoside	aac(6')-Ic	aac(6')-Ic	aac(6')-Ic_1_M94066
Aminoglycoside	aac(6')-If	aac(6')-If	aac(6')-If_1_X55353
Aminoglycoside	aac(6')-Ig	aac(6')-Ig	aac(6')-Ig_1_L09246
Aminoglycoside	aac(6')-Ii	aac(6')-Ii	aac(6')-Ii_1_L12710
Aminoglycoside	aac(6')-IIa	aac(6')-IIa	aac(6')-IIa_1_M29695
Aminoglycoside	aac(6')-Iid	aac(6')-Iid	aac(6')-Iid_1_AJ584700
Aminoglycoside	aac(6')-Iih	aac(6')-Iih	aac(6')-Iih_1_AJ584701
Aminoglycoside	aac(6')-Ik	aac(6')-Ik	aac(6')-Ik_1_L29510
Aminoglycoside	aac(6')-Il	aac(6')-Il	aac(6')-Il_1_U13880
Aminoglycoside	aac(6')-Im	aac(6')-Im	aac(6')-Im_1_AF337947
Aminoglycoside	aac(6')-Ir	aac(6')-Ir	aac(6')-Ir_1_AF031326
Aminoglycoside	aac(6')-Is	aac(6')-Is	aac(6')-Is_1_AF031327
Aminoglycoside	aac(6')-It	aac(6')-It	aac(6')-It_1_AF031328
Aminoglycoside	aac(6')-Iu	aac(6')-Iu	aac(6')-Iu_1_AF031329
Aminoglycoside	aac(6')-Iv	aac(6')-Iv	aac(6')-Iv_1_AF031330
Aminoglycoside	aac(6')-Iw	aac(6')-Iw	aac(6')-Iw_1_AF031331
Aminoglycoside	aac(6')-Ix	aac(6')-Ix	aac(6')-Ix_1_AF031332
Aminoglycoside	aac(6')-Iz	aac(6')-Iz	aac(6')-Iz_1_AF140221
Aminoglycoside	aac(6')-Iz	aac(6')-Iz	aac(6')-Iz_2_AB971834
Aminoglycoside	aac(6')-Iaa	aac(6')-Iaa	aac(6')-Iaa_1_NC_003197
Aminoglycoside	aadA1 like	aadA1	aadA1_2_FJ591054
Aminoglycoside	aadA1 like	aadA1	aadA1_3_JQ414041
Aminoglycoside	aadA1 like	aadA1	aadA1_4_JQ480156
Aminoglycoside	aadA1 like	aadA1	aadA1_5_JX185132
Aminoglycoside	aadA10	aadA10	aadA10_1_U37105
Aminoglycoside	aac(6') like	aadA10	aadA10_2_AM087405
Aminoglycoside	aac(6') like	aadA11	aadA11_1_AY144590
Aminoglycoside	aadA1 like	aadA11	aadA11_2_AJ567827
Aminoglycoside	aadA1 like	aadA12	aadA12_1_AY665771
Aminoglycoside	aadA13	aadA13	aadA13_1_AY713504
Aminoglycoside	aadA13	aadA13	aadA13_2_NC010643
Aminoglycoside	aadA14	aadA14	aadA14_1_AJ884726
Aminoglycoside	aadA1 like	aadA15	aadA15_1_DQ393783
Aminoglycoside	aadA16	aadA16	aadA16_1_EU675686
Aminoglycoside	aadA1 like	aadA17	aadA17_1_FJ460181
Aminoglycoside	aadA1 like	aadA1b	aadA1b_1_M95287
Aminoglycoside	aadA2	aadA2	aadA2_1_NC_010870
Aminoglycoside	aadA2	aadA2	aadA2_2_JQ364967
Aminoglycoside	aadA1 like	aadA21	aadA21_1_AY171244
Aminoglycoside	aadA1 like	aadA22	aadA22_1_AM261837
Aminoglycoside	aadA1 like	aadA23	aadA23_1_AJ809407
Aminoglycoside	aadA1 like	aadA24	aadA24_1_AM711129
Aminoglycoside	aadA1 like	aadA24	aadA24_1_DQ677333
Aminoglycoside	aadA2	aadA2b	aadA2b_1_D43625
Aminoglycoside	aadA1 like	aadA3	aadA3_1_AF047479
Aminoglycoside	aadA4/5	aadA4	aadA4_1_Z50802
Aminoglycoside	aadA4/5	aadA5	aadA5_1_AF137361
Aminoglycoside	aac(6') like	aadA6	aadA6_1_AF140629
Aminoglycoside	aadA7	aadA7	aadA7_1_AF224733
Aminoglycoside	aadA7	aadA7	aadA7_2_AB114632
Aminoglycoside	aadA1 like	aadA8	aadA8_1_AF326210
Aminoglycoside	aadA1 like	aadA8b	aadA8b_1_AY139603
Aminoglycoside	aadA1 like	aadA8b	aadA8b_2_AM040708
Aminoglycoside	aadA9	aadA9	aadA9_1_AJ420072
Aminoglycoside	aadD	aadD	aadD_1_AF181950
Aminoglycoside	aadD	aadD	aadD_2_M19465
Aminoglycoside	aadK	aadK	aadK_1_M26879
Beta-lactam	mecA/A2	mecA	mecA_1_NC_002745
Beta-lactam	mecA/A2	mecA	mecA_2_NC_002951
Beta-lactam	mecA/A2	mecA	mecA_3_Y13095
Beta-lactam	mecA/A2	mecA	mecA_4_AB546266
Beta-lactam	mecA/A2	mecA	mecA_5_AB546267
Beta-lactam	mecA/A2	mecA	mecA_6_BX571856
Beta-lactam	mecA/A2	mecA	mecA_7_HE861945
Beta-lactam	mecA/A2	mecA	mecA_8_NC_007168
Beta-lactam	mecA/A2	mecA	mecA_9_AB505630
Beta-lactam	mecA1	mecA1	mecA1_1_AB547235
Beta-lactam	mecA1	mecA1	mecA1_2_AY820253
Beta-lactam	mecA1	mecA1	mecA1_3_Y13094
Beta-lactam	mecA1	mecA1	mecA1_4_AB547236
Beta-lactam	mecA1	mecA1	mecA1_5_AB547234
Beta-lactam	mecA/A2	mecA2	mecA2_1_AM048811
Beta-lactam	mecA/A2	mecA2	mecA2_2_AB546780
Beta-lactam	mecB	mecB	mecB_1_NC_011996
Beta-lactam	mecC/C2	mecC	mecC_3_KR732654
Beta-lactam	mecC/C2	mecC2	mecC2_1_KF955540
Beta-lactam	mecD	mecD	mecD_1_KY013611
Beta-lactam	blaOXA-1 like	blaOXA-1	blaOXA-1_1_HQ170510
Beta-lactam	blaOXA-2 like	blaOXA-2	blaOXA-2_1_DQ112222
Beta-lactam	blaOXA-2 like	blaOXA-2	blaOXA-2_2_GQ466184
Beta-lactam	blaOXA-2 like	blaOXA-3	blaOXA-3_1_L07945
Beta-lactam	blaOXA-1 like	blaOXA-4	blaOXA-4_1_AY162283
Beta-lactam	blaOXA-9	blaOXA-9	blaOXA-9_1_KQ089875
Beta-lactam	blaOXA-7 like	blaOXA-10	blaOXA-10_1_J03427
Beta-lactam	blaOXA-7 like	blaOXA-11	blaOXA-11_1_Z22590
Beta-lactam	blaOXA-2 like	blaOXA-15	blaOXA-15_1_U63835
Beta-lactam	blaOXA-7 like	blaOXA-16	blaOXA-16_1_AF043100
Beta-lactam	blaOXA-18	blaOXA-18	blaOXA-18_1_U85514
Beta-lactam	blaOXA-20 like	blaOXA-20	blaOXA-20_1_AY307114
Beta-lactam	blaOXA-20 like	blaOXA-20	blaOXA-20_2_AF024602
Beta-lactam	blaOXA-2 like	blaOXA-21	blaOXA-21_1_AB626885
Beta-lactam	blaOXA-22	blaOXA-22	blaOXA-22_1_AF064820
Beta-lactam	blaOXA-24 like	blaOXA-24	blaOXA-24_1_AJ239129
Beta-lactam	blaOXA-29	blaOXA-29	blaOXA-29_1_AJ400619
Beta-lactam	blaOXA-1 like	blaOXA-31	blaOXA-31_1_AF294653
Beta-lactam	blaOXA-2 like	blaOXA-32	blaOXA-32_1_AF315351
Beta-lactam	blaOXA-2 like	blaOXA-34	blaOXA-34_1_AF350424
Beta-lactam	blaOXA-2 like	blaOXA-36	blaOXA-36_1_AF300985
Beta-lactam	blaOXA-20 like	blaOXA-37	blaOXA-37_1_AY007784
Beta-lactam	blaOXA-46 like	blaOXA-46	blaOXA-46_1_AF317511
Beta-lactam	blaOXA-48 like	blaOXA-48	blaOXA-48_1_AY236073
Beta-lactam	blaOXA-23 like	blaOXA-49	blaOXA-49_1_AY288523
Beta-lactam	blaOXA-50 like	blaOXA-50	blaOXA-50_1_AY306130
Beta-lactam	blaOXA-51 like	blaOXA-51	blaOXA-51_1_DQ385606
Beta-lactam	blaOXA-54	blaOXA-54	blaOXA-54_1_AY500137
Beta-lactam	blaOXA-55 like	blaOXA-55	blaOXA-55_1_AY343493
Beta-lactam	blaOXA-58 like	blaOXA-58	blaOXA-58_1_AY665723
Beta-lactam	blaOXA-60 like	blaOXA-60d	blaOXA-60d_1_AY664506
Beta-lactam	blaOXA-60 like	blaOXA-60c	blaOXA-60c_1_AY664505
Beta-lactam	blaOXA-51 like	blaOXA-64	blaOXA-64_1_AY750907
Beta-lactam	blaOXA-51 like	blaOXA-65	blaOXA-65_1_AY750908
Beta-lactam	blaOXA-51 like	blaOXA-66	blaOXA-66_1_AY750909
Beta-lactam	blaOXA-51 like	blaOXA-67	blaOXA-67_1_DQ491200
Beta-lactam	blaOXA-51 like	blaOXA-68	blaOXA-68_1_AY750910
Beta-lactam	blaOXA-51 like	blaOXA-69	blaOXA-69_1_AY859527
Beta-lactam	blaOXA-51 like	blaOXA-70	blaOXA-70_1_AY750912
Beta-lactam	blaOXA-51 like	blaOXA-71	blaOXA-71_1_AY750913
Beta-lactam	blaOXA-7 like	blaOXA-74	blaOXA-74_1_EU161636
Beta-lactam	blaOXA-51 like	blaOXA-75	blaOXA-75_1_AY859529
Beta-lactam	blaOXA-51 like	blaOXA-76	blaOXA-76_1_AY949203
Beta-lactam	blaOXA-51 like	blaOXA-77	blaOXA-77_1_AY949202
Beta-lactam	blaOXA-51 like	blaOXA-78	blaOXA-78_1_AY862132
Beta-lactam	blaOXA-51 like	blaOXA-79	blaOXA-79_1_EU019534
Beta-lactam	blaOXA-51 like	blaOXA-80	blaOXA-80_1_EU019535
Beta-lactam	blaOXA-51 like	blaOXA-82	blaOXA-82_1_DQ987479
Beta-lactam	blaOXA-51 like	blaOXA-83	blaOXA-83_1_DQ309277
Beta-lactam	blaOXA-51 like	blaOXA-84	blaOXA-84_1_DQ309276
Beta-lactam	blaOXA-85	blaOXA-85	blaOXA-85_1_JANA01000064
Beta-lactam	blaOXA-51 like	blaOXA-86	blaOXA-86_1_DQ149247
Beta-lactam	blaOXA-51 like	blaOXA-87	blaOXA-87_1_DQ348075
Beta-lactam	blaOXA-51 like	blaOXA-88	blaOXA-88_1_DQ392963
Beta-lactam	blaOXA-51 like	blaOXA-89	blaOXA-89_1_DQ445683
Beta-lactam	blaOXA-51 like	blaOXA-90	blaOXA-90_1_EU547443
Beta-lactam	blaOXA-51 like	blaOXA-91	blaOXA-91_1_DQ519086
Beta-lactam	blaOXA-51 like	blaOXA-92	blaOXA-92_1_DQ335566
Beta-lactam	blaOXA-51 like	blaOXA-93	blaOXA-93_1_DQ519087
Beta-lactam	blaOXA-51 like	blaOXA-94	blaOXA-94_1_DQ519088
Beta-lactam	blaOXA-51 like	blaOXA-95	blaOXA-95_1_DQ519089
Beta-lactam	blaOXA-58 like	blaOXA-96	blaOXA-96_1_DQ519090
Beta-lactam	blaOXA-58 like	blaOXA-97	blaOXA-97_1_EF102240
Beta-lactam	blaOXA-51 like	blaOXA-98	blaOXA-98_1_EU255288
Beta-lactam	blaOXA-51 like	blaOXA-99	blaOXA-99_1_DQ888718
Beta-lactam	blaOXA-51 like	blaOXA-100	blaOXA-100_1_AM231720
Beta-lactam	blaOXA-23 like	blaOXA-102	blaOXA-102_1_NZ_LWGP01000001
Beta-lactam	blaOXA-23 like	blaOXA-103	blaOXA-103_1_APQF01000011
Beta-lactam	blaOXA-51 like	blaOXA-106	blaOXA-106_1_EF650032
Beta-lactam	blaOXA-51 like	blaOXA-107	blaOXA-107_1_LAVJ01000082
Beta-lactam	blaOXA-51 like	blaOXA-108	blaOXA-108_1_EF650034
Beta-lactam	blaOXA-51 like	blaOXA-109	blaOXA-109_1_EF650035
Beta-lactam	blaOXA-51 like	blaOXA-110	blaOXA-110_1_EF650036
Beta-lactam	blaOXA-51 like	blaOXA-111	blaOXA-111_1_EF650037
Beta-lactam	blaOXA-51 like	blaOXA-112	blaOXA-112_1_EF650038
Beta-lactam	blaOXA-51 like	blaOXA-113	blaOXA-113_1_EF653400
Beta-lactam	blaOXA-114 like	blaOXA-114a	blaOXA-114a_1_EU188842
Beta-lactam	blaOXA-114 like	blaOXA-114c	blaOXA-114c_1_HM056041
Beta-lactam	blaOXA-114 like	blaOXA-114e	blaOXA-114e_1_HM104634
Beta-lactam	blaOXA-114 like	blaOXA-114f	blaOXA-114f_1_HM368375
Beta-lactam	blaOXA-114 like	blaOXA-114g	blaOXA-114g_1_HM368376
Beta-lactam	blaOXA-51 like	blaOXA-115	blaOXA-115_1_EU029998
Beta-lactam	blaOXA-51 like	blaOXA-116	blaOXA-116_1_EU220744
Beta-lactam	blaOXA-51 like	blaOXA-117	blaOXA-117_1_GQ423625
Beta-lactam	blaOXA-46 like	blaOXA-118	blaOXA-118_1_AF371964
Beta-lactam	blaOXA-46 like	blaOXA-119	blaOXA-119_1_DQ767903
Beta-lactam	blaOXA-51 like	blaOXA-120	blaOXA-120_1_EU255289
Beta-lactam	blaOXA-51 like	blaOXA-121	blaOXA-121_1_EU255290
Beta-lactam	blaOXA-51 like	blaOXA-122	blaOXA-122_1_EU255291
Beta-lactam	blaOXA-51 like	blaOXA-123	blaOXA-123_1_EU255292
Beta-lactam	blaOXA-51 like	blaOXA-124	blaOXA-124_1_EU255293
Beta-lactam	blaOXA-51 like	blaOXA-125	blaOXA-125_1_EU255294
Beta-lactam	blaOXA-51 like	blaOXA-126	blaOXA-126_1_EU255295
Beta-lactam	blaOXA-51 like	blaOXA-127	blaOXA-127_1_EU255296
Beta-lactam	blaOXA-51 like	blaOXA-128	blaOXA-128_1_EU375515
Beta-lactam	blaOXA-5/129	blaOXA-129	blaOXA-129_1_FJWZ01000025
Beta-lactam	blaOXA-51 like	blaOXA-130	blaOXA-130_1_EU547445
Beta-lactam	blaOXA-51 like	blaOXA-131	blaOXA-131_1_EU547446
Beta-lactam	blaOXA-51 like	blaOXA-132	blaOXA-132_1_EU547447
Beta-lactam	blaOXA-134 like	blaOXA-134	blaOXA-134_1_HQ122933
Beta-lactam	blaOXA-51 like	blaOXA-138	blaOXA-138_1_EU670845
Beta-lactam	blaOXA-2 like	blaOXA-141	blaOXA-141_1_EF552405
Beta-lactam	blaOXA-51 like	blaOXA-144	blaOXA-144_1_FJ872530
Beta-lactam	blaOXA-7 like	blaOXA-145	blaOXA-145_1_FJ790516
Beta-lactam	blaOXA-51 like	blaOXA-148	blaOXA-148_1_GQ853679
Beta-lactam	blaOXA-51 like	blaOXA-149	blaOXA-149_1_GQ853680
Beta-lactam	blaOXA-51 like	blaOXA-150	blaOXA-150_1_GQ853681
Beta-lactam	blaOXA-62 like	blaOXA-152	blaOXA-152_1_KP771980
Beta-lactam	blaOXA-157	blaOXA-157	blaOXA-157_1_KP771985
Beta-lactam	blaOXA-2 like	blaOXA-161	blaOXA-161_1_GQ202693
Beta-lactam	blaOXA-48 like	blaOXA-162	blaOXA-162_1_GU197550
Beta-lactam	blaOXA-48 like	blaOXA-163	blaOXA-163_1_HQ700343
Beta-lactam	blaOXA-58 like	blaOXA-164	blaOXA-164_1_GU831575
Beta-lactam	blaOXA-23 like	blaOXA-166	blaOXA-166_1_HM488987
Beta-lactam	blaOXA-23 like	blaOXA-167	blaOXA-167_1_HM488988
Beta-lactam	blaOXA-23 like	blaOXA-168	blaOXA-168_1_HM488989
